id,sdr_reference,imei,session_status,momsn,mtmsn,time_of_session,indicator,latitude,longitude,cep_radius
239,2358446,333030323334303639313032303030,2,826,0,"2018-07-03 09:13:00.000000",0,56.0,41.0,116
240,2358449,333030323334303639313032303030,2,827,0,"2018-07-03 09:13:09.000000",0,56.0,41.0,129
241,2358456,333030323334303639313032303030,2,828,0,"2018-07-03 09:13:23.000000",0,56.0,41.0,99
242,2358461,333030323334303639313032303030,2,829,0,"2018-07-03 09:13:38.000000",0,56.0,41.0,94
243,2358468,333030323334303639313032303030,2,831,0,"2018-07-03 09:13:56.000000",0,56.0,41.0,87
244,2358474,333030323334303639313032303030,2,832,0,"2018-07-03 09:14:06.000000",0,56.0,41.0,79
245,2358564,333030323334303639313032303030,2,835,0,"2018-07-03 09:15:22.000000",0,56.0,41.0,75
246,2358570,333030323334303639313032303030,0,836,0,"2018-07-03 09:15:30.000000",0,56.0,40.0,13
247,2358615,333030323334303639313032303030,13,837,0,"2018-07-03 09:16:33.000000",0,56.0,40.0,14
248,2358622,333030323334303639313032303030,2,837,0,"2018-07-03 09:17:14.000000",0,56.0,41.0,74
249,2358624,333030323334303639313032303030,2,838,0,"2018-07-03 09:17:23.000000",0,56.0,41.0,74
250,2358627,333030323334303639313032303030,2,839,0,"2018-07-03 09:17:32.000000",0,56.0,41.0,75
251,2358639,333030323334303639313032303030,2,840,0,"2018-07-03 09:17:40.000000",0,56.0,41.0,73
